node_id_from,node_id_to,directed,weight,type
england,canterbury,yes,1,place_hierarchy
france,verdun,yes,1,place_hierarchy
germany,werden,yes,1,place_hierarchy
germany,lorsch,yes,1,place_hierarchy
germany,trier,yes,1,place_hierarchy
france,laon,yes,1,place_hierarchy
france,saint-denis,yes,1,place_hierarchy
france,soissons,yes,1,place_hierarchy
germany,fulda,yes,1,place_hierarchy
ireland,roscrea,yes,1,place_hierarchy
germany,augsburg,yes,1,place_hierarchy
france,reims,yes,1,place_hierarchy
germany,regensburg,yes,1,place_hierarchy
france,corbie,yes,1,place_hierarchy
germany,wurzburg,yes,1,place_hierarchy
ireland,deer,yes,1,place_hierarchy
france,brittany,yes,1,place_hierarchy
france,paris,yes,1,place_hierarchy
england,northumbria,yes,1,place_hierarchy
germany,mainz,yes,1,place_hierarchy
ireland,armagh,yes,1,place_hierarchy
france,lyon,yes,1,place_hierarchy
switzerland,st-gall,yes,1,place_hierarchy
germany,freising,yes,1,place_hierarchy
ireland,iona,yes,1,place_hierarchy
ireland,bangor,yes,1,place_hierarchy
germany,fussen,yes,1,place_hierarchy
france,luxeuil,yes,1,place_hierarchy
france,auxerre,yes,1,place_hierarchy
germany,reichenau,yes,1,place_hierarchy
france,peronne,yes,1,place_hierarchy
ireland,tallaght,yes,1,place_hierarchy
france,strasbourg,yes,1,place_hierarchy
ireland,clondalkin,yes,1,place_hierarchy
france,saint-amand,yes,1,place_hierarchy
france,cambrai,yes,1,place_hierarchy
italy,verona,yes,1,place_hierarchy
france,fleury,yes,1,place_hierarchy
italy,bobbio,yes,1,place_hierarchy
france,tours,yes,1,place_hierarchy
ireland,birr,yes,1,place_hierarchy
france,rouen,yes,1,place_hierarchy
